MODEL;DATASET;PERC_T;PERC_U;PERC_L;CV;SAMPLES;METRIC;VALUE_MEAN;VALUE_STD
LABEL-SPREADING;LETTER;20;79.9;0.01;2;2;F1_WEIGHTED;0.30198962261331086;0.027619030340810934
RANDOM-FOREST;CIFAR;20;79.9;0.01;2;2;ACCURACY;0.11763284237052485;0.015810523388968743
RANDOM-FOREST;CIFAR;20;79.9;0.01;2;2;AUC_MACRO;0.5315337772537713;0.02117670204128981
RANDOM-FOREST;CIFAR;20;79.9;0.01;2;2;AUC_WEIGHTED;0.5333935116390938;0.019666922665498708
RANDOM-FOREST;CIFAR;20;79.9;0.01;2;2;F1_MACRO;0.1070599345423485;0.009599219183883803
RANDOM-FOREST;CIFAR;20;79.9;0.01;2;2;F1_WEIGHTED;0.10853923352329468;0.009790428206656678
NEURAL-NETWORK;CIFAR;20;79.9;0.01;2;2;ACCURACY;0.09822419729753215;0.012337835960517157
NEURAL-NETWORK;CIFAR;20;79.9;0.01;2;2;AUC_MACRO;0.5271615181773883;0.02748857040658035
NEURAL-NETWORK;CIFAR;20;79.9;0.01;2;2;AUC_WEIGHTED;0.5285358727872199;0.028418156726398313
NEURAL-NETWORK;CIFAR;20;79.9;0.01;2;2;F1_MACRO;0.04883269050338995;0.01363257839758776
NEURAL-NETWORK;CIFAR;20;79.9;0.01;2;2;F1_WEIGHTED;0.04809186306752548;0.013527718580732888
KMEANS-RF;CIFAR;20;79.9;0.01;2;2;ACCURACY;0.11855516271289539;0.009274393201805863
KMEANS-RF;CIFAR;20;79.9;0.01;2;2;AUC_MACRO;0.5395789245902625;0.03104373604767646
KMEANS-RF;CIFAR;20;79.9;0.01;2;2;AUC_WEIGHTED;0.542617622516272;0.032221977772619925
KMEANS-RF;CIFAR;20;79.9;0.01;2;2;F1_MACRO;0.09606517566487385;0.006797996777678923
KMEANS-RF;CIFAR;20;79.9;0.01;2;2;F1_WEIGHTED;0.09800128330127326;0.0075892446693648676
LADDER-NETWORK;CIFAR;20;79.9;0.01;2;2;ACCURACY;0.13327766553701773;0.026370364743153706
LADDER-NETWORK;CIFAR;20;79.9;0.01;2;2;AUC_MACRO;0.5512471502128322;0.03284219533304212
LADDER-NETWORK;CIFAR;20;79.9;0.01;2;2;AUC_WEIGHTED;0.5539096349068023;0.033323014438569755
LADDER-NETWORK;CIFAR;20;79.9;0.01;2;2;F1_MACRO;0.13129188842449632;0.02566445602230042
LADDER-NETWORK;CIFAR;20;79.9;0.01;2;2;F1_WEIGHTED;0.13375014458282167;0.026792087140926703
LABEL-SPREADING;CIFAR;20;79.9;0.01;2;2;ACCURACY;0.09900775547445256;0.004754184470288661
LABEL-SPREADING;CIFAR;20;79.9;0.01;2;2;AUC_MACRO;0.5;0.0
LABEL-SPREADING;CIFAR;20;79.9;0.01;2;2;AUC_WEIGHTED;0.5;0.0
LABEL-SPREADING;CIFAR;20;79.9;0.01;2;2;F1_MACRO;0.018015108593012277;0.0007872462594049291
LABEL-SPREADING;CIFAR;20;79.9;0.01;2;2;F1_WEIGHTED;0.017864425018782354;0.001635906346528037
