MODEL;DATASET;PERC_T;PERC_U;PERC_L;CV;SAMPLES;METRIC;VALUE_MEAN;VALUE_STD
LADDER-NETWORK;CIFAR;20.0;50.0;30.0;5;10;AUC_WEIGHTED;0.7531986223924848;0.006544554749770879
LADDER-NETWORK;CIFAR;20.0;50.0;30.0;5;10;F1_MACRO;0.27527819838556644;0.011583743553319538
LADDER-NETWORK;CIFAR;20.0;50.0;30.0;5;10;F1_WEIGHTED;0.27445051925573993;0.011150477058197425
LADDER-NETWORK;CIFAR;20.0;55.0;25.0;5;10;ACCURACY;0.28137063344962926;0.009805756193741142
LADDER-NETWORK;CIFAR;20.0;55.0;25.0;5;10;AUC_MACRO;0.7534466374097849;0.006236862357567665
LADDER-NETWORK;CIFAR;20.0;55.0;25.0;5;10;AUC_WEIGHTED;0.7533082123658642;0.005731209512088168
LADDER-NETWORK;CIFAR;20.0;55.0;25.0;5;10;F1_MACRO;0.27261799377221374;0.010444604209741883
LADDER-NETWORK;CIFAR;20.0;55.0;25.0;5;10;F1_WEIGHTED;0.27174497258947067;0.010263306418088394
LADDER-NETWORK;CIFAR;20.0;60.0;20.0;5;10;ACCURACY;0.27859059576401446;0.012178967369660754
LADDER-NETWORK;CIFAR;20.0;60.0;20.0;5;10;AUC_MACRO;0.7508553254099941;0.005987834692157722
LADDER-NETWORK;CIFAR;20.0;60.0;20.0;5;10;AUC_WEIGHTED;0.7507417582338232;0.00554915466134197
LADDER-NETWORK;CIFAR;20.0;60.0;20.0;5;10;F1_MACRO;0.271021896211306;0.013259685952340042
LADDER-NETWORK;CIFAR;20.0;60.0;20.0;5;10;F1_WEIGHTED;0.27033864895385434;0.013196427500235159
LADDER-NETWORK;CIFAR;20.0;65.0;15.0;5;10;ACCURACY;0.2788219477128567;0.01069281964754111
LADDER-NETWORK;CIFAR;20.0;65.0;15.0;5;10;AUC_MACRO;0.7506158754088432;0.006668463847577666
LADDER-NETWORK;CIFAR;20.0;65.0;15.0;5;10;AUC_WEIGHTED;0.7505084458250988;0.006762743235137596
LADDER-NETWORK;CIFAR;20.0;65.0;15.0;5;10;F1_MACRO;0.2702697406561285;0.012020298217019795
LADDER-NETWORK;CIFAR;20.0;65.0;15.0;5;10;F1_WEIGHTED;0.2698172020058521;0.012074250248778787
LADDER-NETWORK;CIFAR;20.0;70.0;10.0;5;10;ACCURACY;0.27110165229745553;0.011817908720288501
LADDER-NETWORK;CIFAR;20.0;70.0;10.0;5;10;AUC_MACRO;0.7437002206293964;0.006832026287527617
LADDER-NETWORK;CIFAR;20.0;70.0;10.0;5;10;AUC_WEIGHTED;0.7436960349063013;0.006802394596003606
LADDER-NETWORK;CIFAR;20.0;70.0;10.0;5;10;F1_MACRO;0.2617702295944637;0.013581161330966304
LADDER-NETWORK;CIFAR;20.0;70.0;10.0;5;10;F1_WEIGHTED;0.26179798514753094;0.013213585113969476
LADDER-NETWORK;CIFAR;20.0;75.0;5.0;5;10;ACCURACY;0.25455492634532856;0.013329422762789759
LADDER-NETWORK;CIFAR;20.0;75.0;5.0;5;10;AUC_MACRO;0.7251396036443049;0.008825862970831436
LADDER-NETWORK;CIFAR;20.0;75.0;5.0;5;10;AUC_WEIGHTED;0.725238725514193;0.008516879576027253
LADDER-NETWORK;CIFAR;20.0;75.0;5.0;5;10;F1_MACRO;0.24431633698597405;0.013303230004090505
LADDER-NETWORK;CIFAR;20.0;75.0;5.0;5;10;F1_WEIGHTED;0.2445405296633065;0.013136842114325115
LADDER-NETWORK;CIFAR;20.0;79.5;0.5;5;10;ACCURACY;0.1754957581765408;0.016843163492871054
LADDER-NETWORK;CIFAR;20.0;79.5;0.5;5;10;AUC_MACRO;0.597827177333083;0.01809155095043574
LADDER-NETWORK;CIFAR;20.0;79.5;0.5;5;10;AUC_WEIGHTED;0.5982536046957232;0.018002988750797918
LADDER-NETWORK;CIFAR;20.0;79.5;0.5;5;10;F1_MACRO;0.1560111662712395;0.020308609098348248
LADDER-NETWORK;CIFAR;20.0;79.5;0.5;5;10;F1_WEIGHTED;0.15642762526023446;0.021284479427553665
LADDER-NETWORK;CIFAR;20.0;79.9;0.1;5;10;ACCURACY;0.1526027646913734;0.018314031262544
LADDER-NETWORK;CIFAR;20.0;79.9;0.1;5;10;AUC_MACRO;0.5681173514392716;0.021895147674249583
